ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice
160_MSC,RM,21.0,1680,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,0,ALQ,387.0,Unf,0.0,96.0,483.0,3,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,0,Detchd,1971.0,Unf,1.0,264.0,3,3,1,0,0,0,0,0,0,0,Jul,2008,COD,85400
20_MSC,RL,64.0,7488,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,GLQ,393.0,Unf,0.0,815.0,1208.0,5,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,0,Attchd,2005.0,RFn,2.0,632.0,3,3,1,105,58,0,0,0,0,0,Feb,2006,WD ,183600
70_MSC,RL,120.0,26400,Reg,Bnk,FR2,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,None,0.0,None,0.0,0.0,0.0,5,1,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,3,Attchd,1900.0,Unf,2.0,576.0,3,3,0,0,0,0,0,0,0,0,Jun,2009,WD ,131000
160_MSC,FV,24.0,2645,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,0,GLQ,813.0,Unf,0.0,147.0,960.0,5,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,0,Detchd,2000.0,Unf,2.0,480.0,3,3,1,169,0,0,0,0,0,0,Dec,2008,ConLD,200000
20_MSC,RL,74.0,9627,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,GLQ,24.0,Unf,0.0,1327.0,1351.0,5,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,0,Attchd,2007.0,RFn,2.0,610.0,3,3,1,0,50,0,0,0,0,0,Jun,2008,WD ,193000
20_MSC,RL,93.0,10114,Reg,Lvl,Inside,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,2,Unf,0.0,Unf,0.0,1430.0,1430.0,5,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2004.0,RFn,2.0,624.0,3,3,1,0,0,0,0,0,0,0,Mar,2010,WD ,173500
70_MSC,RM,34.0,4571,Reg,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,0,Unf,0.0,Unf,0.0,624.0,624.0,2,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,0,Detchd,1916.0,Unf,3.0,513.0,2,2,1,0,0,96,0,0,0,0,May,2008,COD,98000
20_MSC,RL,80.0,8816,Reg,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,0,Rec,651.0,Unf,0.0,470.0,1121.0,3,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1963.0,Unf,2.0,480.0,3,3,1,0,80,0,0,0,0,0,Jun,2009,WD ,139000
20_MSC,RL,71.0,8197,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,0,Unf,0.0,Unf,0.0,660.0,660.0,5,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,3,Attchd,1977.0,RFn,2.0,528.0,3,3,1,138,0,0,0,0,0,0,Apr,2007,WD ,143500
60_MSC,FV,72.0,8640,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,GLQ,24.0,Unf,0.0,732.0,756.0,5,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,0,Attchd,2009.0,Unf,2.0,614.0,3,3,1,169,45,0,0,0,0,0,Jun,2010,Con,215200
20_MSC,RL,109.0,8724,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,0,BLQ,492.0,Unf,0.0,402.0,894.0,4,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,1,Attchd,1968.0,Fin,2.0,450.0,3,3,1,0,0,0,0,0,0,0,May,2007,WD ,129000
120_MSC,RL,40.0,5664,IR1,Lvl,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,0,GLQ,1158.0,Unf,0.0,343.0,1501.0,5,1,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,5,Attchd,2000.0,Fin,2.0,499.0,3,3,1,212,59,0,0,0,0,0,Oct,2009,WD ,278000
60_MSC,RL,103.0,12867,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,None,0.0,4,3,PConc,5,3,2,Unf,0.0,Unf,0.0,1209.0,1209.0,5,1,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,Typ,1,4,Attchd,2005.0,Fin,2.0,575.0,3,3,1,243,142,0,0,0,0,0,Jul,2006,New,344133
20_MSC,RL,68.87899941826643,7980,IR1,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,0,ALQ,935.0,Unf,0.0,233.0,1168.0,5,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,0,Attchd,1992.0,Fin,2.0,420.0,3,3,1,483,21,0,0,0,0,500,Mar,2010,WD ,185000
190_MSC,RL,100.0,34650,Reg,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,Rec,1056.0,Unf,0.0,0.0,1056.0,3,0,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Attchd,1955.0,Fin,2.0,572.0,3,3,1,264,0,0,0,0,0,0,Jan,2006,WD ,145000
20_MSC,RL,92.0,10573,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,0,Rec,1312.0,Unf,0.0,141.0,1453.0,5,1,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,Typ,1,3,Attchd,1961.0,RFn,2.0,530.0,3,3,1,0,49,0,0,288,0,0,Apr,2009,WD ,187500
20_MSC,RL,65.0,8450,Reg,Lvl,Inside,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,0,GLQ,553.0,BLQ,117.0,224.0,894.0,5,1,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,3,5,Typ,1,4,Detchd,1973.0,Unf,1.0,336.0,3,3,1,416,144,0,0,0,0,0,Apr,2010,WD ,138500
50_MSC,RL,68.87899941826643,11700,IR1,HLS,Inside,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,0,BLQ,606.0,Unf,0.0,336.0,942.0,5,1,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,Min2,1,4,Detchd,1937.0,Unf,1.0,240.0,3,3,1,0,40,0,0,0,0,0,Jul,2008,WD ,198000
190_MSC,C (all),75.0,8250,Reg,Lvl,Inside,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0,Unf,0.0,Unf,0.0,957.0,957.0,2,0,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,Typ,0,0,None,0.0,None,0.0,0.0,0,0,0,0,0,133,0,0,0,0,Jun,2007,WD ,119600
50_MSC,RL,60.0,8064,Reg,Lvl,Corner,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,Unf,0.0,Unf,0.0,672.0,672.0,5,1,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,3,6,Typ,1,1,Detchd,2003.0,Unf,2.0,576.0,3,3,1,0,0,0,0,0,0,2000,Jul,2007,WD ,122900
20_MSC,RL,80.0,9600,Reg,Lvl,Inside,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,0,ALQ,1104.0,Unf,0.0,1420.0,2524.0,3,1,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,Typ,1,4,Attchd,1981.0,Fin,2.0,542.0,3,3,1,474,120,0,0,0,0,0,Jul,2009,WD ,278000
70_MSC,RL,68.87899941826643,11435,IR1,HLS,Corner,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,0,Unf,0.0,Unf,0.0,792.0,792.0,2,1,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,Typ,2,4,Detchd,1931.0,Unf,2.0,400.0,3,3,1,0,0,0,0,0,0,0,Jun,2006,WD ,230000
120_MSC,RL,30.0,9549,IR1,Lvl,CulDSac,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,2,LwQ,437.0,GLQ,1057.0,0.0,1494.0,5,1,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,Typ,1,4,Attchd,1995.0,Fin,2.0,481.0,3,3,1,0,30,0,0,216,0,0,Apr,2006,WD ,270000
20_MSC,RL,60.0,10950,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,ALQ,441.0,Unf,0.0,507.0,948.0,3,1,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Detchd,1952.0,Unf,2.0,410.0,3,3,0,0,48,0,0,0,0,0,Apr,2007,WD ,125000
20_MSC,RL,79.0,10637,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,3,GLQ,1288.0,Unf,0.0,417.0,1705.0,5,1,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,RFn,3.0,826.0,3,3,1,208,44,0,0,0,0,0,Sep,2009,WD ,297000
20_MSC,RL,80.0,9000,IR1,HLS,Inside,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,3,Unf,0.0,Unf,0.0,160.0,160.0,2,1,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,Typ,1,4,Basment,1958.0,RFn,1.0,384.0,3,3,1,0,28,64,0,0,0,0,Apr,2009,WD ,113500
160_MSC,RM,41.0,2665,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,0,ALQ,548.0,Rec,173.0,36.0,757.0,5,1,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,Typ,1,3,Attchd,1977.0,RFn,1.0,336.0,3,3,1,104,26,0,0,0,0,0,Jul,2006,WD ,127000
20_MSC,RL,105.0,11751,IR1,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,0,BLQ,705.0,Unf,0.0,1139.0,1844.0,5,1,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,Typ,1,3,Attchd,1977.0,RFn,2.0,546.0,3,3,1,0,122,0,0,0,0,0,Jan,2010,COD,190000
20_MSC,RL,80.0,9600,Reg,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,0,ALQ,916.0,Unf,0.0,326.0,1242.0,2,1,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,Typ,1,3,Attchd,1973.0,Unf,2.0,528.0,3,3,1,0,0,0,0,0,0,0,Sep,2007,WD ,175500
20_MSC,RL,60.0,8428,IR2,Lvl,Inside,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,0,GLQ,420.0,Unf,0.0,570.0,990.0,5,1,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1995.0,Unf,1.0,384.0,3,3,1,256,0,0,0,0,0,0,Jul,2007,WD ,146000
20_MSC,RL,75.0,9937,Reg,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,0,BLQ,830.0,LwQ,290.0,136.0,1256.0,4,1,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,Typ,0,0,Attchd,1965.0,Fin,1.0,276.0,3,3,1,736,68,0,0,0,0,0,Jun,2008,WD ,147500
20_MSC,RL,107.0,13891,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,5,3,PConc,5,4,3,GLQ,1386.0,Unf,0.0,690.0,2076.0,5,1,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,Typ,1,4,Attchd,2006.0,Fin,3.0,850.0,3,3,1,216,229,0,0,0,0,0,Sep,2006,New,465000
85_MSC,RL,68.87899941826643,9101,IR1,Lvl,Corner,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,2,GLQ,1097.0,Unf,0.0,0.0,1097.0,5,1,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,Typ,1,3,Attchd,1978.0,Fin,2.0,602.0,3,3,1,303,30,0,0,0,0,0,Jul,2009,WD ,165500
50_MSC,RM,81.0,12150,Reg,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,0,Unf,0.0,Unf,0.0,1050.0,1050.0,5,0,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,Typ,0,0,Attchd,1954.0,Unf,1.0,352.0,2,3,1,0,0,0,0,0,0,0,Nov,2008,WD ,131500
20_MSC,RL,70.0,11200,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,Rec,906.0,Unf,0.0,134.0,1040.0,5,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1965.0,Unf,1.0,384.0,3,3,1,0,0,0,0,0,0,0,Feb,2008,WD ,129500
70_MSC,RL,100.0,9670,IR1,HLS,Inside,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,0,LwQ,210.0,Unf,0.0,398.0,608.0,3,1,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,Typ,2,4,Detchd,1935.0,Fin,2.0,786.0,2,3,1,0,0,207,0,0,0,0,Jun,2008,WD ,257076
50_MSC,RL,60.0,10998,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,LwQ,408.0,BLQ,420.0,156.0,984.0,5,1,SBrkr,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,Min2,0,0,Detchd,1977.0,Unf,2.0,660.0,3,3,1,0,68,0,0,0,0,0,Jul,2009,WD ,117000
70_MSC,RL,60.0,7200,Reg,HLS,Inside,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,0,Unf,0.0,Unf,0.0,776.0,776.0,3,1,SBrkr,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,Typ,1,4,Attchd,1931.0,RFn,1.0,270.0,3,3,0,0,0,112,0,0,0,0,Feb,2008,WD ,149000
20_MSC,RL,80.0,9920,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,0,Rec,354.0,LwQ,290.0,412.0,1056.0,3,1,SBrkr,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,1954.0,RFn,1.0,280.0,3,3,1,0,0,164,0,0,0,0,Feb,2010,WD ,128000
160_MSC,RL,36.0,2448,Reg,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,0,Unf,0.0,Unf,0.0,764.0,764.0,5,1,SBrkr,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,Typ,0,0,BuiltIn,2003.0,RFn,2.0,474.0,3,3,1,0,27,0,0,0,0,0,Oct,2008,WD ,155000
160_MSC,FV,68.87899941826643,2998,Reg,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,0,GLQ,353.0,Unf,0.0,403.0,756.0,5,1,SBrkr,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,Typ,0,0,Detchd,2000.0,Unf,2.0,440.0,3,3,1,0,32,0,0,0,0,0,Jun,2006,WD ,166000
50_MSC,RL,65.0,7804,Reg,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,0,BLQ,622.0,Unf,0.0,500.0,1122.0,3,1,SBrkr,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,Min2,2,3,Detchd,1981.0,Unf,2.0,576.0,3,3,1,431,44,0,0,0,0,0,Dec,2009,WD ,135000
60_MSC,RL,80.0,16692,IR1,Lvl,Inside,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,Gable,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4,3,0,BLQ,790.0,LwQ,469.0,133.0,1392.0,3,1,SBrkr,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,Typ,2,3,Attchd,1978.0,RFn,2.0,564.0,3,3,1,0,112,0,0,440,519,2000,Jul,2006,WD ,250000
160_MSC,RM,21.0,1476,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CemntBd,CmentBd,None,0.0,3,3,CBlock,3,3,0,GLQ,176.0,Unf,0.0,370.0,546.0,5,1,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,Typ,0,0,None,0.0,None,0.0,0.0,0,0,1,200,26,0,0,0,0,0,Mar,2010,WD ,76000
20_MSC,RL,75.0,10170,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,0,Unf,0.0,Unf,0.0,216.0,216.0,3,1,SBrkr,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,Typ,1,4,Attchd,1951.0,Unf,2.0,400.0,3,3,1,0,0,0,0,0,0,0,Jun,2006,WD ,155000
60_MSC,RL,80.0,9364,Reg,Lvl,Corner,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,Stone,143.0,3,3,CBlock,3,3,0,ALQ,371.0,Unf,0.0,292.0,663.0,3,1,SBrkr,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,Typ,0,0,Attchd,1969.0,Fin,1.0,299.0,3,3,1,379,36,0,0,0,0,0,Mar,2010,WD ,158000
160_MSC,FV,24.0,2544,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,0,GLQ,368.0,ALQ,42.0,190.0,600.0,5,1,SBrkr,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,Typ,0,0,Detchd,2004.0,RFn,2.0,480.0,3,3,1,0,172,0,0,0,0,0,Feb,2010,WD ,149500
